#N  r ----kT-----  ----volume---- --cx-- --cy-- --cz--
 7  0   0   0   0  0.055555555556 0.1458 0.0833 0.0417
 7  1   2   1   0  0.111111111111 0.2708 0.1146 0.0417
 7  2   3   2   1  0.388888888889 0.3899 0.2173 0.0655
 7  3   3   3   3  0.444444444444 0.4167 0.3333 0.2083
