0.5   15  0.188561808316 -0.000637656512 0.000006300048
0.5   19  0.148864585513 -0.000768712332 0.000009908912
0.5   27  0.104756560176 -0.000964688456 0.000011577370
0.5   33  0.085709912871 -0.001061213224 0.000015444580
1.0   15  0.066666666667 -0.000548681009 0.000002617309
1.0   19  0.052631578947 -0.000647647295 0.000008733716
1.0   27  0.037037037037 -0.000741280005 0.000008879638
